Typ bytovej jednotky;Počet osôb v bytovej jednotke;Počet obytných miestností v bytovej jednotke
Nezistené;9 osôb;4 obytné miestnosti
Nezistené;9 osôb;5 obytných miestností
Nezistené;9 osôb;6 obytných miestností
Nezistené;9 osôb;7 obytných miestností
Nezistené;9 osôb;8 obytných miestností
Nezistené;9 osôb;9 obytných miestností a viac
Nezistené;9 osôb;Nezistené
Nezistené;10 osôb;1 obytná miestnosť
Nezistené;10 osôb;2 obytné miestnosti
Nezistené;10 osôb;3 obytné miestnosti
Nezistené;10 osôb;4 obytné miestnosti
Nezistené;10 osôb;5 obytných miestností
Nezistené;10 osôb;6 obytných miestností
Nezistené;10 osôb;7 obytných miestností
Nezistené;10 osôb;8 obytných miestností
Nezistené;10 osôb;9 obytných miestností a viac
Nezistené;10 osôb;Nezistené
Nezistené;11 osôb a viac;1 obytná miestnosť
Nezistené;11 osôb a viac;2 obytné miestnosti
Nezistené;11 osôb a viac;3 obytné miestnosti
Nezistené;11 osôb a viac;4 obytné miestnosti
Nezistené;11 osôb a viac;5 obytných miestností
Nezistené;11 osôb a viac;6 obytných miestností
Nezistené;11 osôb a viac;7 obytných miestností
Nezistené;11 osôb a viac;8 obytných miestností
Nezistené;11 osôb a viac;9 obytných miestností a viac
Nezistené;11 osôb a viac;Nezistené
